user_id,day,Age,Height,Weight,Bmi,BmiClass,Gender,TargetWeight,ActivityLevel,DaysToGoal,Achieved,GoalType,BMI,TargetBMI,BMR,TDEE,Calorie_Deficit,Calorie_Target,preferred_body_part,운동1,운동부위1,운동시간1,소모칼로리1,운동2,운동부위2,운동시간2,소모칼로리2,운동3,운동부위3,운동시간3,소모칼로리3,운동4,운동부위4,운동시간4,소모칼로리4,총 운동시간,하루소모칼로리,breakfast_food_name,breakfast_portion,breakfast_carb,breakfast_protein,breakfast_fat,breakfast_calories,lunch_food_name,lunch_portion,lunch_carb,lunch_protein,lunch_fat,lunch_calories,snack_food_name,snack_portion,snack_carb,snack_protein,snack_fat,snack_calories,dinner_food_name,dinner_portion,dinner_carb,dinner_protein,dinner_fat,dinner_calories,총 식사섭취 칼로리
2,4,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,500,1063.9499999999998,,줄넘기 2단 뛰기,유산소,30,300.0,TRX 스프린터 스타트,하체,30,192.0,댄스,스포츠,30,165.0,점핑 잭,유산소,30,225.0,120,882.0,피자_치즈 피자 슈퍼시드 화이버 엣지 오리지널 (L),93.53,26.49,13.36,5.56,281.51,피자_골드베이컨 피자 (L),130.33,58.64,22.35,18.77,492.64,김무침,81.52,15.76,17.26,8.75,211.13,잔멸치볶음,127.96,35.1,44.75,11.48,422.27,1407.55
2,5,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,500,1063.9499999999998,,제자리 뛰기,유산소,30,210.0,썰매,스포츠,30,180.0,크리스 크로스 점프,유산소,30,245.99999999999997,터치다운,유산소,30,234.0,120,870.0,피자_치즈 피자 슈퍼시드 화이버 엣지 오리지널 (L),93.53,26.49,13.36,5.56,281.51,잔멸치볶음,149.29,40.95,52.21,13.39,492.64,오징어채조림,87.97,22.31,20.69,4.31,211.13,피자_깐쇼새우 피자,138.45,58.97,19.23,12.18,422.27,1407.55
2,6,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,500,1063.9499999999998,어깨,숄더 탭,어깨,30,162.0,덤벨 비하인드 넥 프레스,어깨,30,171.0,백핸드 레이즈,어깨,30,159.0,플레이트 로드 숄더 프레스,어깨,30,165.0,120,657.0,오징어채조림,117.3,29.75,27.59,5.75,281.51,카스텔라,147.06,70.57,14.75,16.87,492.64,김무침,81.52,15.76,17.26,8.75,211.13,잔멸치볶음,127.96,35.1,44.75,11.48,422.27,1407.55
2,7,60,1.71,79.02,27.0236995998769,Overweight,Male,59.3,1,789,1,저지방 고단백,27.02369959987689,20.27974419479498,1563.9499999999998,1563.9499999999998,500,1063.9499999999998,,러닝,유산소,30,315.0,웜업 엘립티컬 머신,유산소,30,186.0,줌바 댄스,스포츠,30,180.0,니 쓰러스트,유산소,30,245.99999999999997,120,927.0,오징어채무침,109.11,31.0,25.75,6.03,281.51,피자_치즈크러스트 피자 (L),85.83,40.19,33.4,22.01,492.64,오징어채조림,87.97,22.31,20.69,4.31,211.13,뱅어포구이,112.91,28.31,38.81,17.13,422.27,1407.55
3,1,60,1.55,74.7,31.0926118626431,Obese Class 1,Female,44.2,4,305,0,저지방 고단백,31.09261186264308,18.397502601456814,1254.75,5019.0,750,4269.0,등,폼롤러 랫,등,30,105.0,원 암 로우 로우 머신,등,30,183.0,스미스 머신 바벨 로우,등,30,186.0,로프 암 풀 다운,등,30,162.0,120,636.0,츄러스_오리지널 링츄,198.55,138.99,18.15,30.64,903.42,크로플_생크림 애플잼 크로플,345.95,314.81,13.84,24.22,1580.98,비스킷/쿠키/크래커_그릭요거트그래놀라바,157.94,112.82,9.02,20.31,677.56,머핀_휘낭시에 약과,236.91,170.79,16.54,60.6,1355.13,4517.09
3,2,60,1.55,74.7,31.0926118626431,Obese Class 1,Female,44.2,4,305,0,저지방 고단백,31.09261186264308,18.397502601456814,1254.75,5019.0,750,4269.0,,암워킹 마운틴 클라이머,유산소,30,270.0,등산,스포츠,30,195.0,줄넘기,유산소,30,270.0,Apple 건강,스포츠,30,105.0,120,840.0,츄러스_오리지널 링츄,198.55,138.99,18.15,30.64,903.42,피자_아메리칸 미트볼 피자,324.64,180.04,87.39,56.19,1580.98,소보로빵,171.1,103.04,15.43,22.67,677.56,피자_치즈크러스트 피자 (L),236.09,110.56,91.88,60.53,1355.13,4517.09
3,3,60,1.55,74.7,31.0926118626431,Obese Class 1,Female,44.2,4,305,0,저지방 고단백,31.09261186264308,18.397502601456814,1254.75,5019.0,750,4269.0,가슴,해머 스트렝스 벤치 프레스,가슴,30,168.0,코브라 푸쉬업,가슴,30,165.0,덤벨 스벤드 프레스,가슴,30,168.0,해머 스트렝스 레터럴 레이즈,가슴,30,162.0,120,663.0,피자_고르곤졸라 피자 (L),254.48,139.33,56.52,57.21,903.42,피자_치즈바이트 피자 (L),287.98,162.91,85.82,65.23,1580.98,비스킷/쿠키/크래커_그릭요거트그래놀라바,157.94,112.82,9.02,20.31,677.56,머핀_휘낭시에 오레오,240.7,167.94,16.8,67.18,1355.13,4517.09
3,4,60,1.55,74.7,31.0926118626431,Obese Class 1,Female,44.2,4,305,0,저지방 고단백,31.09261186264308,18.397502601456814,1254.75,5019.0,750,4269.0,가슴,라잉 플로어 플라이,가슴,30,165.0,인클라인 클로즈 그립 덤벨 벤치 프레스,가슴,30,171.0,베어 푸쉬업,가슴,30,168.0,링 푸쉬업,가슴,30,171.0,120,675.0,비스킷/쿠키/크래커_현미누룽지칩,224.17,195.77,17.93,5.22,903.42,머핀_휘낭시에 소시지,237.03,132.29,27.57,93.7,1580.98,피자_치즈바이트 피자 (L),123.42,69.82,36.78,27.95,677.56,피자_고르곤졸라 피자 (L),381.73,209.0,84.78,85.81,1355.13,4517.09
3,5,60,1.55,74.7,31.0926118626431,Obese Class 1,Female,44.2,4,305,0,저지방 고단백,31.09261186264308,18.397502601456814,1254.75,5019.0,750,4269.0,,스케이터 홉 탭,유산소,30,240.0,크리스 크로스 점프,유산소,30,245.99999999999997,박스 점프 오버,하체,30,195.0,스키 에르그,유산소,30,285.0,120,966.0,크로플_생크림 애플잼 크로플,197.68,179.89,7.91,13.84,903.42,머핀_휘낭시에 로투스,295.51,199.29,20.63,75.59,1580.99,피자_아메리칸 미트볼 피자,139.13,77.16,37.45,24.08,677.56,머핀_휘낭시에 소보로,257.63,167.77,17.98,65.9,1355.13,4517.1
3,6,60,1.55,74.7,31.0926118626431,Obese Class 1,Female,44.2,4,305,0,저지방 고단백,31.09261186264308,18.397502601456814,1254.75,5019.0,750,4269.0,등,밴드 어시스트 풀 업,등,30,159.0,백 익스텐션 머신,등,30,126.0,로우 리어 델트 머신,등,30,174.0,암 풀다운,등,30,165.0,120,624.0,츄러스_오리지널 링츄,198.55,138.99,18.15,30.64,903.42,머핀_휘낭시에 약과,276.4,199.25,19.29,70.7,1580.98,번_딸기번,159.8,99.25,13.46,25.23,677.56,스무디_쿠키 프라페,1303.01,1355.13,19.94,59.29,1355.13,4517.09
3,7,60,1.55,74.7,31.0926118626431,Obese Class 1,Female,44.2,4,305,0,저지방 고단백,31.09261186264308,18.397502601456814,1254.75,5019.0,750,4269.0,어깨,앞쪽 어깨/가슴 스트레칭,어깨,30,105.0,덤벨 큐반 프레스,어깨,30,159.0,엘보우 써클링 어깨 스트레칭,어깨,30,105.0,스탠딩 어라운드 더 월드,어깨,30,111.0,120,480.0,피자_아메리칸 미트볼 피자,185.51,102.88,49.94,32.11,903.42,피자_고르곤졸라 피자 (L),445.35,243.83,98.91,100.11,1580.98,츄러스_흑임자 링츄,163.66,102.34,11.39,23.76,677.56,머핀_휘낭시에 소보로,257.63,167.77,17.98,65.9,1355.13,4517.09
4,1,60,1.46,35.9,16.841808969788,Underweight,Female,53.3,1,696,0,벌크업,16.841808969787955,25.00469131169075,810.5,810.5,0,810.5,하체,케이블 굿모닝 익스텐션,하체,30,189.0,글루트 킥 백,하체,30,165.0,힙 글루트 머신,하체,30,195.0,티비알리스 레이즈,하체,30,162.0,120,711.0,피자_하와이언 피자 (L),76.86,18.96,9.7,3.59,178.31,효모빵_쫄깃담백 토종효모빵 (H),117.31,57.45,11.33,4.05,312.04,오리죽,86.28,17.21,6.47,4.31,133.73,팥빵_호두과자,103.67,44.92,15.55,3.45,267.47,891.5500000000001
4,2,60,1.46,35.9,16.841808969788,Underweight,Female,53.3,1,696,0,벌크업,16.841808969787955,25.00469131169075,810.5,810.5,0,810.5,,보수볼 스쿼트,하체,30,189.0,중량 싯 업,코어,30,168.0,케이블 체스트 프레스,가슴,30,168.0,벤트 오버 로우 머신,등,30,183.0,120,708.0,피자_블랙타이거 슈림프 피자 슈퍼시드 화이버 엣지 오리지널 (M),59.64,16.18,8.96,3.57,178.31,팥빵_호두과자,120.95,52.41,18.14,4.03,312.04,녹두빈대떡_돼지고기,76.42,16.35,7.19,4.31,133.73,피자_골드핫치킨 피자 (L),72.09,29.28,15.02,10.01,267.47,891.5500000000001
4,3,60,1.46,35.9,16.841808969788,Underweight,Female,53.3,1,696,0,벌크업,16.841808969787955,25.00469131169075,810.5,810.5,0,810.5,,짐볼 백 익스텐션,등,30,114.0,중량 푸쉬업,가슴,30,165.0,암 컬 머신,이두,30,165.0,인버티드 로우,등,30,165.0,120,609.0,피자_슈퍼디럭스 피자 슈퍼시드 화이버 엣지 오리지널 (M),62.35,16.68,8.71,4.68,178.31,효모빵_쫄깃담백 토종효모빵,117.31,57.45,11.33,4.05,312.04,회덮밥_모듬,92.23,16.38,8.39,3.83,133.73,피자_페퍼로니 피자,87.12,32.78,14.11,8.71,267.46,891.54
4,4,60,1.46,35.9,16.841808969788,Underweight,Female,53.3,1,696,0,벌크업,16.841808969787955,25.00469131169075,810.5,810.5,0,810.5,어깨,플레이트 프론트 레이즈,어깨,30,159.0,시티드 케이블 프론트 프레스,어깨,30,165.0,시티드 벤트 오버 레터럴 레이즈,어깨,30,162.0,맨몸 오버헤드 프레스,어깨,30,156.0,120,642.0,피자_하와이언 피자 (L),76.86,18.96,9.7,3.59,178.31,팥빵_호두과자,120.95,52.41,18.14,4.03,312.04,떡볶이_간편조리세트_소불고기궁중떡볶이,113.33,22.89,6.19,1.93,133.73,피자_콤비네이션 피자,106.14,45.22,15.68,6.03,267.47,891.5500000000001
4,5,60,1.46,35.9,16.841808969788,Underweight,Female,53.3,1,696,0,벌크업,16.841808969787955,25.00469131169075,810.5,810.5,0,810.5,가슴,스탠딩 케이블 플라이,가슴,30,165.0,동적 가슴 스트레칭,가슴,30,108.0,닐링 숄더탭 푸쉬업,가슴,30,141.0,비하인드 암 가슴 스트레칭,가슴,30,105.0,120,519.0,피자_베스트 콰트로 피자 슈퍼시드 화이버 엣지 오리지널 (L),62.79,16.27,8.46,4.73,178.31,효모빵_쫄깃담백 토종효모빵,117.31,57.45,11.33,4.05,312.04,오리죽,86.28,17.21,6.47,4.31,133.73,피자_핫치킨 피자 (L),88.86,32.04,15.5,8.57,267.47,891.5500000000001
4,6,60,1.46,35.9,16.841808969788,Underweight,Female,53.3,1,696,0,벌크업,16.841808969787955,25.00469131169075,810.5,810.5,0,810.5,등,랫 풀다운,등,30,165.0,플랭크 암 리프트,등,30,120.0,백 펙 스트레칭,등,30,90.0,원 암 케이블 랫 풀다운,등,30,171.0,120,546.0,초밥_광어,118.09,30.53,10.65,1.55,178.31,식빵_인생 식빵,116.0,56.61,10.9,4.64,312.04,닭찜_간편조리세트_안동식 찜닭,98.33,19.06,7.1,3.26,133.73,피자_치즈피자,96.56,34.37,15.16,7.63,267.47,891.5500000000001
4,7,60,1.46,35.9,16.841808969788,Underweight,Female,53.3,1,696,0,벌크업,16.841808969787955,25.00469131169075,810.5,810.5,0,810.5,하체,덤벨 크로스 런지,하체,30,180.0,케이블 스쿼트,하체,30,177.0,스탠딩 힙 쓰러스트 머신,하체,30,195.0,런지 점프,하체,30,189.0,120,741.0,피자_블랙타이거 슈림프 피자 슈퍼시드 화이버 엣지 오리지널 (L),61.7,17.84,8.33,3.76,178.31,프레즐_플레인 프레즐,116.43,58.72,12.94,2.98,312.04,오리죽,86.28,17.21,6.47,4.31,133.73,피자_불고기 피자 (L),85.18,33.32,12.99,9.17,267.47,891.5500000000001
5,1,60,1.58,97.1,38.8960102547669,Obese Class 2,Female,69.1,1,1120,0,저지방 고단백,38.89601025476686,27.67985899695561,1497.5,1497.5,750,747.5,하체,런지 트위스트,하체,30,180.0,싱글 라잉 레그 컬,하체,30,165.0,스미스 머신 와이드 스쿼트,하체,30,210.0,스미스 머신 닐링 스쿼트,하체,30,201.0,120,756.0,잔멸치볶음,81.68,22.41,28.56,7.33,269.55,피자_치즈크러스트 피자 (L),82.18,38.48,31.98,21.07,471.71,멸치볶음_풋고추,106.4,14.15,21.94,6.38,202.16,뱅어포구이,108.11,27.1,37.16,16.4,404.32,1347.74
5,2,60,1.58,97.1,38.8960102547669,Obese Class 2,Female,69.1,1,1120,0,저지방 고단백,38.89601025476686,27.67985899695561,1497.5,1497.5,750,747.5,가슴,로테이팅 푸쉬업,가슴,30,171.0,라잉 플로어 플라이,가슴,30,165.0,인클라인 케이블 벤치 프레스,가슴,30,168.0,퍼즈 벤치 프레스,가슴,30,174.0,120,678.0,피자_불고기 피자 (L),106.96,27.92,15.82,6.92,269.55,피자_치즈 피자 (L),148.81,65.06,20.86,14.23,471.71,북어조림,111.08,19.04,23.14,3.7,202.16,피자_리치골드 피자 (L),107.82,40.07,22.1,15.12,404.33,1347.75
5,3,60,1.58,97.1,38.8960102547669,Obese Class 2,Female,69.1,1,1120,0,저지방 고단백,38.89601025476686,27.67985899695561,1497.5,1497.5,750,747.5,하체,리버스 클램쉘,하체,30,102.0,스미스 머신 스태거드 데드리프트,하체,30,204.0,힙 익스텐션 머신,하체,30,180.0,폼롤러 싱글 레그 캐브즈,하체,30,93.0,120,579.0,피자_블랙타이거 슈림프 피자 슈퍼시드 화이버 엣지 오리지널 (M),90.15,24.46,13.54,5.39,269.55,피자_치즈크러스트 피자 (L),82.18,38.48,31.98,21.07,471.71,멸치볶음_풋고추,106.4,14.15,21.94,6.38,202.16,피자_핫치킨 피자 (L),134.33,48.44,23.43,12.96,404.32,1347.74
5,4,60,1.58,97.1,38.8960102547669,Obese Class 2,Female,69.1,1,1120,0,저지방 고단백,38.89601025476686,27.67985899695561,1497.5,1497.5,750,747.5,가슴,인클라인 케이블 벤치 프레스,가슴,30,168.0,버티컬 체스트 프레스,가슴,30,168.0,퍼즈 벤치 프레스,가슴,30,174.0,레이 다운 푸쉬업,가슴,30,159.0,120,669.0,오징어채볶음,98.02,29.18,21.6,7.42,269.55,치즈빵_치즈 푸가스,145.59,67.41,16.31,15.14,471.71,홍합산적,103.14,13.64,22.93,6.19,202.16,피자_베이컨 피자 (L),131.27,53.07,18.05,13.34,404.32,1347.74
5,5,60,1.58,97.1,38.8960102547669,Obese Class 2,Female,69.1,1,1120,0,저지방 고단백,38.89601025476686,27.67985899695561,1497.5,1497.5,750,747.5,등,해머 스트렝스 프론트 랫 풀다운,등,30,186.0,해머 스트렝스 MTS 로우,등,30,192.0,바벨 로우,등,30,195.0,해머 스트렝스 MTS 프론트 풀다운,등,30,189.0,120,762.0,잔멸치볶음_풋고추,105.29,17.84,29.73,8.76,269.55,피자_복성로 불고기 피자,120.64,50.24,24.5,19.3,471.71,샌드위치_그릭치킨 샌드위치,109.87,24.41,13.43,5.49,202.16,피자_치즈크러스트 피자 (L),70.44,32.99,27.42,18.06,404.32,1347.74
5,6,60,1.58,97.1,38.8960102547669,Obese Class 2,Female,69.1,1,1120,0,저지방 고단백,38.89601025476686,27.67985899695561,1497.5,1497.5,750,747.5,어깨,버티컬 플라이 머신,어깨,30,168.0,이지바 프론트 레이즈,어깨,30,162.0,오버헤드 플라이,어깨,30,165.0,바벨 리버스 레이즈,어깨,30,165.0,120,660.0,오징어채무침,104.48,29.68,24.66,5.78,269.55,피자_골드베이컨 피자 (L),124.79,56.14,21.4,17.97,471.71,만두_고기만두,127.15,22.12,15.74,5.66,202.16,뱅어포구이,108.11,27.1,37.16,16.4,404.32,1347.74
5,7,60,1.58,97.1,38.8960102547669,Obese Class 2,Female,69.1,1,1120,0,저지방 고단백,38.89601025476686,27.67985899695561,1497.5,1497.5,750,747.5,어깨,후면 어깨 스트레칭,어깨,30,105.0,서클 암,어깨,30,108.0,파이크 푸쉬업,어깨,30,180.0,원 암 페이스 풀,어깨,30,171.0,120,564.0,피자_베이컨체더 피자 슈퍼시드 화이버 엣지 오리지널 (M),82.94,21.36,13.0,6.68,269.55,치즈빵_치즈 푸가스,145.59,67.41,16.31,15.14,471.71,샌드위치_그릭치킨 샌드위치,109.87,24.41,13.43,5.49,202.16,피자_치즈 피자 오리지널 (M),129.18,56.33,29.96,20.51,404.32,1347.74
6,1,59,1.71,79.32,27.1262952703396,Overweight,Male,50.2,2,874,0,저지방 고단백,27.126295270339593,17.167675524092886,1571.9499999999998,3143.8999999999996,500,2643.8999999999996,어깨,숄더 프레스 머신,어깨,30,177.0,파이크 푸쉬업,어깨,30,180.0,스미스 머신 슈러그,어깨,30,165.0,바벨 업라이트 로우,어깨,30,168.0,120,690.0,츄러스_크리미 인절미 링츄,153.78,85.22,12.78,19.82,565.9,피자_고르곤졸라 피자 (L),278.97,152.73,61.96,62.71,990.33,뱅어포구이,113.48,28.45,39.0,17.22,424.43,비스킷/쿠키/크래커_그릭요거트그래놀라바,197.87,141.34,11.3,25.45,848.85,2829.51
6,2,59,1.71,79.32,27.1262952703396,Overweight,Male,50.2,2,874,0,저지방 고단백,27.126295270339593,17.167675524092886,1571.9499999999998,3143.8999999999996,500,2643.8999999999996,,슬로우 버피,유산소,30,240.0,로잉 머신,유산소,30,255.0,족구,스포츠,30,180.0,포고 홉,스포츠,30,165.0,120,840.0,허니브레드_갈릭 버터 브레드,155.04,82.37,16.16,19.38,565.9,비스킷/쿠키/크래커_현미누룽지칩,245.74,214.6,19.66,5.73,990.33,피자_복성로 불고기 피자,108.55,45.2,22.05,17.37,424.43,피자_치즈크러스트 피자 (L),147.88,69.25,57.56,37.92,848.85,2829.51
6,3,59,1.71,79.32,27.1262952703396,Overweight,Male,50.2,2,874,0,저지방 고단백,27.126295270339593,17.167675524092886,1571.9499999999998,3143.8999999999996,500,2643.8999999999996,,암워킹 마운틴 클라이머,유산소,30,270.0,줌바 댄스,스포츠,30,180.0,스텝퍼,유산소,30,240.0,웜업 로잉 머신,유산소,30,204.0,120,894.0,도넛_추억의생도나스,131.91,72.72,23.68,28.74,565.9,크로플_생크림 애플잼 크로플,216.7,197.2,8.67,15.17,990.33,피자_베이컨 피자 (L),137.8,55.71,18.95,14.0,424.43,머핀_휘낭시에 약과,148.4,106.98,10.36,37.96,848.85,2829.51
6,4,59,1.71,79.32,27.1262952703396,Overweight,Male,50.2,2,874,0,저지방 고단백,27.126295270339593,17.167675524092886,1571.9499999999998,3143.8999999999996,500,2643.8999999999996,가슴,케이블 벤치 프레스,가슴,30,162.0,딥스,가슴,30,174.0,인클라인 해머 벤치 프레스,가슴,30,171.0,덤벨 플라이,가슴,30,168.0,120,675.0,피자_치즈 피자 오리지널 (M),180.8,78.85,41.93,28.71,565.9,도넛_추억의생도나스,230.85,127.27,41.44,50.3,990.33,피자_치즈 피자 (L),133.89,58.54,18.77,12.8,424.43,비스킷/쿠키/크래커_약과 쿠키,187.8,147.35,8.68,23.12,848.85,2829.51
6,5,59,1.71,79.32,27.1262952703396,Overweight,Male,50.2,2,874,0,저지방 고단백,27.126295270339593,17.167675524092886,1571.9499999999998,3143.8999999999996,500,2643.8999999999996,,스텝박스 마운틴 클라이머,유산소,30,255.0,훌라후프,유산소,30,195.0,스키 에르그,유산소,30,285.0,박스 점프,하체,30,189.0,120,924.0,츄러스_아몬드초코 링츄,139.38,79.45,12.7,16.73,565.9,스무디_쿠키 프라페,952.24,990.33,14.57,43.33,990.33,잔멸치볶음,128.61,35.28,44.98,11.54,424.43,피자_치즈바이트 피자 (L),154.62,87.47,46.08,35.02,848.85,2829.51
