Age,Height,Weight,Bmi,BmiClass,Gender,TargetWeight,ActivityLevel,DaysToGoal,Achieved,GoalType
54,1.72,79.32,26.8117901568415,Overweight,Male,49.1,3,334,0,저지방 고단백
54,1.71,73.82,25.24537464519,Overweight,Male,72.3,2,14,1,저지방 고단백
54,1.61,78.1,30.1300104162648,Obese Class 1,Female,62.2,4,164,0,저지방 고단백
54,1.48,36.2,16.5266617969321,Underweight,Female,38.0,1,10,1,벌크업
54,1.61,100.3,38.694494811157,Obese Class 2,Female,46.2,4,480,0,저지방 고단백
53,1.72,79.31,26.808409951325,Overweight,Male,62.0,2,190,0,저지방 고단백
53,1.62,76.3,29.0733119951227,Overweight,Female,55.2,3,235,0,저지방 고단백
53,1.49,36.2,16.3055718210891,Underweight,Female,63.3,1,245,0,벌크업
53,1.62,101.7,38.7517146776406,Obese Class 2,Female,44.2,3,483,0,저지방 고단백
52,1.72,79.3,26.8050297458085,Overweight,Male,51.3,3,280,1,저지방 고단백
52,1.71,74.0,25.3069320474676,Overweight,Male,58.8,1,193,0,저지방 고단백
52,1.6,73.0,28.515625,Overweight,Female,46.8,1,280,1,저지방 고단백
52,1.49,36.3,16.3506148371695,Underweight,Female,53.5,2,178,0,벌크업
52,1.64,105.1,39.0764425936942,Obese Class 2,Female,62.1,1,481,1,저지방 고단백
51,1.72,79.29,26.8016495402921,Overweight,Male,70.7,3,46,1,저지방 고단백
51,1.71,74.09,25.3377107486064,Overweight,Male,76.9,4,6,1,벌크업
51,1.63,70.2,26.4217697316421,Overweight,Female,46.1,4,215,1,저지방 고단백
51,1.5,36.4,16.1777777777778,Underweight,Female,38.0,4,7,1,벌크업
51,1.75,91.2,29.7795918367347,Overweight,Male,53.7,1,432,0,저지방 고단백
51,1.7,107.3,37.1280276816609,Obese Class 2,Male,74.4,1,279,1,저지방 고단백
50,1.73,79.28,26.489358147616,Overweight,Male,83.8,3,16,1,벌크업
50,1.72,74.18,25.0743645213629,Overweight,Male,87.4,2,66,1,벌크업
50,1.74,84.38,27.8702602721628,Overweight,Male,81.1,2,20,1,저지방 고단백
50,1.8,135.0,41.6666666666667,Obese Class 3,Male,57.2,4,475,0,저지방 고단백
50,1.62,46.0,17.5278158817253,Underweight,Female,51.2,2,42,0,벌크업
50,1.63,72.5,27.2874402499153,Overweight,Female,53.7,4,140,1,저지방 고단백
50,1.5,36.5,16.2222222222222,Underweight,Female,62.8,2,267,1,벌크업
50,1.84,106.9,31.5749054820416,Obese Class 1,Male,59.4,4,481,0,저지방 고단백
50,1.66,110.5,40.100159674844,Obese Class 3,Female,81.6,1,286,1,저지방 고단백
49,1.73,79.02,26.402485883257,Overweight,Male,86.6,3,61,0,벌크업
49,1.72,74.02,25.020281233099,Overweight,Male,70.3,3,18,0,저지방 고단백
49,1.74,84.02,27.7513542079535,Overweight,Male,63.3,4,152,1,저지방 고단백
49,1.6,75.0,29.296875,Overweight,Female,55.2,1,198,1,저지방 고단백
49,1.6,44.0,17.1875,Underweight,Female,76.1,2,287,1,벌크업
49,1.64,77.9,28.9634146341464,Overweight,Female,55.8,4,228,0,저지방 고단백
49,1.51,36.6,16.0519275470374,Underweight,Female,39.2,3,13,0,벌크업
49,1.63,103.2,38.8422597764312,Obese Class 2,Female,44.7,2,445,0,저지방 고단백
48,1.74,79.01,26.0965781477078,Overweight,Male,56.5,3,176,1,저지방 고단백
48,1.73,74.11,24.761936583247,Normal Weight,Male,73.3,2,9,0,저지방 고단백
48,1.75,83.91,27.3991836734694,Overweight,Male,52.0,2,283,0,저지방 고단백
48,1.63,100.0,37.6378486205729,Obese Class 2,Female,76.8,3,202,0,저지방 고단백
48,1.58,42.0,16.8242268867169,Underweight,Female,55.9,3,88,0,벌크업
48,1.68,79.5,28.1675170068027,Overweight,Female,52.1,1,315,0,저지방 고단백
48,1.51,36.7,16.0957852725758,Underweight,Female,53.0,2,121,1,벌크업
48,1.69,110.9,38.8291726480165,Obese Class 2,Female,49.3,3,489,1,저지방 고단백
47,1.74,79.0,26.0932752014797,Overweight,Male,80.9,2,6,1,벌크업
47,1.73,74.2,24.792007751679,Normal Weight,Male,84.8,2,75,1,벌크업
47,1.75,83.8,27.3632653061224,Overweight,Male,62.8,4,142,0,저지방 고단백
47,1.55,40.0,16.6493236212279,Underweight,Female,58.9,1,186,1,벌크업
47,1.65,75.3,27.6584022038568,Overweight,Female,49.8,3,316,1,저지방 고단백
47,1.52,36.8,15.9279778393352,Underweight,Female,41.0,2,22,0,벌크업
47,1.82,99.7,30.0990218572636,Obese Class 1,Male,70.9,2,286,0,저지방 고단백
47,1.75,112.2,36.6367346938776,Obese Class 2,Male,52.2,1,427,0,저지방 고단백
46,1.74,78.99,26.0899722552517,Overweight,Male,74.6,1,18,1,저지방 고단백
46,1.73,74.29,24.8220789201109,Normal Weight,Male,50.4,2,149,1,저지방 고단백
46,1.75,83.69,27.3273469387755,Overweight,Male,56.1,2,275,0,저지방 고단백
46,1.86,70.0,20.2335530119089,Normal Weight,Male,99.9,2,207,1,벌크업
46,1.73,77.0,25.7275552140065,Overweight,Male,51.8,4,361,0,저지방 고단백
46,1.52,36.9,15.9712603878116,Underweight,Female,42.0,3,38,0,벌크업
46,1.74,111.2,36.7287620557537,Obese Class 2,Male,54.0,2,424,0,저지방 고단백
45,1.74,78.98,26.0866693090236,Overweight,Male,54.4,2,211,1,저지방 고단백
45,1.73,74.38,24.8521500885429,Normal Weight,Male,85.6,4,68,0,벌크업
45,1.75,83.58,27.2914285714286,Overweight,Male,80.0,4,24,1,저지방 고단백
45,1.68,140.0,49.6031746031746,Obese Class 3,Female,61.9,1,431,0,저지방 고단백
45,1.84,68.0,20.0850661625709,Normal Weight,Male,94.0,3,225,1,벌크업
45,1.72,78.3,26.467009194159,Overweight,Male,50.7,1,307,0,저지방 고단백
45,1.53,37.0,15.8058866248024,Underweight,Female,68.1,4,255,1,벌크업
45,1.78,90.7,28.6264360560535,Overweight,Male,64.1,2,375,0,저지방 고단백
45,1.8,116.0,35.8024691358025,Obese Class 2,Male,59.1,1,491,1,저지방 고단백
44,1.74,78.62,25.9677632448144,Overweight,Male,90.7,4,113,0,벌크업
44,1.73,74.12,24.7652778241839,Normal Weight,Male,82.2,4,53,1,벌크업
44,1.75,83.12,27.1412244897959,Overweight,Male,71.6,1,107,1,저지방 고단백
44,1.82,66.0,19.9251298152397,Normal Weight,Male,67.1,2,13,0,벌크업
44,1.71,74.4,25.4437262747512,Overweight,Male,67.0,4,60,0,저지방 고단백
44,1.53,37.2,15.8913238498014,Underweight,Female,44.7,1,62,0,벌크업
44,1.8,96.1,29.6604938271605,Overweight,Male,75.3,1,240,0,저지방 고단백
44,1.79,116.4,36.3284541680971,Obese Class 2,Male,59.8,1,431,1,저지방 고단백
43,1.74,78.61,25.9644602985863,Overweight,Male,76.3,1,13,0,저지방 고단백
43,1.73,74.21,24.7953489926159,Normal Weight,Male,80.1,4,48,1,벌크업
43,1.75,83.01,27.105306122449,Overweight,Male,65.2,1,160,0,저지방 고단백
43,1.8,64.0,19.7530864197531,Normal Weight,Male,67.9,3,16,1,벌크업
43,1.69,72.2,25.279226917825,Overweight,Female,80.8,1,62,0,벌크업
43,1.54,37.4,15.7699443413729,Underweight,Female,45.1,4,46,0,벌크업
43,1.78,114.5,36.1381138745108,Obese Class 2,Male,93.7,2,180,1,저지방 고단백
42,1.74,78.6,25.9611573523583,Overweight,Male,53.4,2,374,1,저지방 고단백
42,1.73,74.3,24.8254201610478,Normal Weight,Male,59.6,3,91,0,저지방 고단백
42,1.75,82.9,27.069387755102,Overweight,Male,73.7,2,32,0,저지방 고단백
42,1.65,90.0,33.0578512396694,Obese Class 1,Female,70.4,1,156,0,저지방 고단백
42,1.78,62.0,19.5682363337962,Normal Weight,Male,78.2,2,192,0,벌크업
42,1.75,76.5,24.9795918367347,Normal Weight,Male,52.5,1,172,0,저지방 고단백
42,1.54,37.5,15.8121099679541,Underweight,Female,40.7,4,21,1,벌크업
42,1.79,93.8,29.2749914172467,Overweight,Male,92.9,3,9,1,저지방 고단백
42,1.75,112.0,36.5714285714286,Obese Class 2,Male,77.9,4,379,0,저지방 고단백
41,1.74,78.59,25.9578544061303,Overweight,Male,90.1,1,81,1,벌크업
41,1.73,74.39,24.8554913294798,Normal Weight,Male,82.9,4,45,0,벌크업
41,1.75,82.79,27.0334693877551,Overweight,Male,51.2,2,364,0,저지방 고단백
41,1.76,60.0,19.3698347107438,Normal Weight,Male,83.4,4,186,1,벌크업
41,1.72,78.6,26.5684153596539,Overweight,Male,53.2,4,330,1,저지방 고단백
41,1.55,37.7,15.6919875130073,Underweight,Female,49.7,2,93,1,벌크업
41,1.73,110.1,36.7870627150924,Obese Class 2,Male,58.2,4,441,1,저지방 고단백
40,1.74,78.58,25.9545514599022,Overweight,Male,54.0,2,236,0,저지방 고단백
40,1.73,74.48,24.8855624979117,Normal Weight,Male,89.1,4,69,0,벌크업
40,1.75,82.68,26.9975510204082,Overweight,Male,73.3,3,64,0,저지방 고단백
40,1.729,74.48,24.9143568981626,Normal Weight,Male,85.9,3,95,1,벌크업
40,1.7,105.0,36.3321799307959,Obese Class 2,Male,49.6,2,486,1,저지방 고단백
40,1.74,58.0,19.1570881226054,Normal Weight,Male,73.7,1,146,0,벌크업
40,1.7,75.0,25.9515570934256,Overweight,Male,77.1,4,9,0,벌크업
40,1.56,38.0,15.6147271531887,Underweight,Female,65.7,2,226,1,벌크업
40,1.68,108.6,38.4778911564626,Obese Class 2,Female,53.3,1,437,0,저지방 고단백
39,1.74,77.42,25.5714096974501,Overweight,Male,62.6,1,113,1,저지방 고단백
39,1.73,73.42,24.531390958602,Normal Weight,Male,83.8,3,118,1,벌크업
39,1.75,81.42,26.5861224489796,Overweight,Male,65.9,4,203,0,저지방 고단백
39,1.729,73.42,24.5597755567011,Normal Weight,Male,86.8,4,97,1,벌크업
39,1.72,56.0,18.9291508923743,Normal Weight,Male,77.2,4,162,0,벌크업
39,1.66,71.7,26.0197416170707,Overweight,Female,50.9,1,152,1,저지방 고단백
39,1.56,38.3,15.7380013149244,Underweight,Female,57.9,1,193,1,벌크업
39,1.78,90.2,28.4686276985229,Overweight,Male,82.0,2,63,1,저지방 고단백
39,1.74,111.7,36.8939093671555,Obese Class 2,Male,73.3,4,407,1,저지방 고단백
38,1.74,77.41,25.5681067512221,Overweight,Male,54.0,4,211,1,저지방 고단백
38,1.73,73.51,24.561462127034,Normal Weight,Male,88.7,4,180,0,벌크업
38,1.75,81.31,26.5502040816327,Overweight,Male,54.2,2,318,1,저지방 고단백
38,1.729,73.51,24.5898815196553,Normal Weight,Male,69.6,3,15,1,저지방 고단백
38,1.68,80.0,28.3446712018141,Overweight,Female,72.8,3,37,1,저지방 고단백
38,1.7,54.0,18.6851211072664,Normal Weight,Male,48.4,2,38,1,저지방 고단백
38,1.71,74.8,25.5805205020348,Overweight,Male,58.7,4,235,0,저지방 고단백
38,1.57,38.7,15.7004340946894,Underweight,Female,41.3,1,6,0,벌크업
38,1.77,88.3,28.1847489546427,Overweight,Male,91.0,1,13,1,벌크업
38,1.78,118.9,37.5268274207802,Obese Class 2,Male,79.4,2,438,0,저지방 고단백
37,1.74,77.4,25.5648038049941,Overweight,Male,51.8,3,393,0,저지방 고단백
37,1.73,73.6,24.5915332954659,Normal Weight,Male,63.7,2,47,1,저지방 고단백
37,1.75,81.2,26.5142857142857,Overweight,Male,51.0,2,336,1,저지방 고단백
37,1.729,73.6,24.6199874826096,Normal Weight,Male,50.1,1,208,0,저지방 고단백
37,1.7298,80.4,26.8697894415122,Overweight,Male,86.7,2,48,0,벌크업
37,1.68,52.0,18.4240362811791,Underweight,Female,48.0,3,21,0,저지방 고단백
37,1.67,71.1,25.4939223349708,Overweight,Female,50.7,3,182,0,저지방 고단백
37,1.58,39.1,15.6625540778721,Underweight,Female,44.2,2,44,1,벌크업
37,1.76,113.3,36.5767045454546,Obese Class 2,Male,60.9,2,438,1,저지방 고단백
36,1.74,77.39,25.561500858766,Overweight,Male,81.4,1,19,0,벌크업
36,1.73,73.69,24.6216044638979,Normal Weight,Male,58.0,3,204,0,저지방 고단백
36,1.75,81.09,26.4783673469388,Overweight,Male,52.3,2,312,1,저지방 고단백
36,1.729,73.69,24.6500934455639,Normal Weight,Male,60.8,3,100,0,저지방 고단백
36,1.7298,80.39,26.8664474279001,Overweight,Male,53.8,2,342,1,저지방 고단백
36,1.66,50.0,18.1448686311511,Underweight,Female,72.5,4,145,1,벌크업
36,1.69,62.0,21.7079233920381,Normal Weight,Female,47.3,1,70,0,저지방 고단백
36,1.68,68.4,24.234693877551,Normal Weight,Female,79.1,4,97,0,벌크업
36,1.59,39.6,15.6639373442506,Underweight,Female,42.8,3,22,0,벌크업
36,1.75,112.2,36.6367346938776,Obese Class 2,Male,55.6,2,415,1,저지방 고단백
35,1.74,77.38,25.558197912538,Overweight,Male,52.7,2,190,1,저지방 고단백
35,1.73,73.78,24.6516756323298,Normal Weight,Male,70.0,2,22,1,저지방 고단백
35,1.75,80.98,26.4424489795918,Overweight,Male,76.0,1,23,1,저지방 고단백
35,1.729,73.78,24.6801994085182,Normal Weight,Male,55.4,2,128,1,저지방 고단백
35,1.7298,80.38,26.863105414288,Overweight,Male,55.0,3,259,1,저지방 고단백
35,1.7,85.0,29.4117647058824,Overweight,Male,57.9,3,308,1,저지방 고단백
35,1.64,48.0,17.8465199286139,Underweight,Female,74.4,4,290,0,벌크업
35,1.71,65.0,22.2290619335864,Normal Weight,Male,72.2,1,63,0,벌크업
35,1.72,67.0,22.6473769605192,Normal Weight,Male,50.3,1,227,1,저지방 고단백
35,1.65,65.2,23.9485766758494,Normal Weight,Female,53.0,3,110,0,저지방 고단백
35,1.6,40.1,15.6640625,Underweight,Female,66.1,4,329,0,벌크업
35,1.75,85.6,27.9510204081633,Overweight,Male,53.8,1,385,0,저지방 고단백
35,1.7,98.5,34.083044982699,Obese Class 1,Male,51.6,4,441,0,저지방 고단백
34,1.74,76.22,25.1750561500859,Overweight,Male,52.3,2,149,0,저지방 고단백
34,1.73,72.72,24.2975040930201,Normal Weight,Male,84.9,1,103,1,벌크업
34,1.75,79.72,26.0310204081633,Overweight,Male,54.8,4,126,0,저지방 고단백
34,1.729,72.72,24.3256180670567,Normal Weight,Male,52.9,1,238,1,저지방 고단백
34,1.7298,79.22,26.4754318352811,Overweight,Male,76.0,3,20,1,저지방 고단백
34,1.62,46.0,17.5278158817253,Underweight,Female,68.3,4,146,1,벌크업
34,1.73,67.0,22.3863142771225,Normal Weight,Male,49.9,4,194,0,저지방 고단백
34,1.72,66.0,22.3093564088697,Normal Weight,Male,48.9,3,173,1,저지방 고단백
34,1.71,66.0,22.5710475017954,Normal Weight,Male,52.4,4,113,0,저지방 고단백
34,1.7,65.0,22.4913494809689,Normal Weight,Male,75.4,3,66,0,벌크업
34,1.73,70.9,23.6893982425073,Normal Weight,Male,75.1,4,15,0,벌크업
34,1.61,40.6,15.6629759654334,Underweight,Female,46.2,3,58,0,벌크업
34,1.77,86.9,27.737878642791,Overweight,Male,56.2,3,280,1,저지방 고단백
34,1.81,120.9,36.9036354201642,Obese Class 2,Male,76.6,4,412,1,저지방 고단백
33,1.74,76.21,25.1717532038578,Overweight,Male,50.4,2,315,1,저지방 고단백
33,1.73,72.81,24.3275752614521,Normal Weight,Male,52.4,2,223,0,저지방 고단백
33,1.75,79.61,25.9951020408163,Overweight,Male,85.3,2,52,0,벌크업
33,1.729,72.81,24.355724030011,Normal Weight,Male,52.2,2,158,0,저지방 고단백
33,1.7298,79.21,26.472089821669,Overweight,Male,53.5,3,279,0,저지방 고단백
33,1.6,44.0,17.1875,Underweight,Female,62.3,4,137,0,벌크업
33,1.69,64.0,22.4081789853297,Normal Weight,Female,52.1,2,82,0,저지방 고단백
33,1.73,66.0,22.0521901834341,Normal Weight,Male,87.4,3,126,1,벌크업
33,1.7,65.0,22.4913494809689,Normal Weight,Male,84.3,2,182,1,벌크업
33,1.77,73.6,23.4926106802005,Normal Weight,Male,51.8,4,228,1,저지방 고단백
33,1.62,41.2,15.6988263984149,Underweight,Female,73.0,4,341,1,벌크업
33,1.76,84.3,27.214617768595,Overweight,Male,75.4,3,41,1,저지방 고단백
33,1.8,118.1,36.4506172839506,Obese Class 2,Male,70.6,3,489,0,저지방 고단백
32,1.74,76.2,25.1684502576298,Overweight,Male,60.4,1,151,0,저지방 고단백
32,1.73,72.9,24.3576464298841,Normal Weight,Male,50.4,3,194,0,저지방 고단백
32,1.75,79.5,25.9591836734694,Overweight,Male,59.5,1,173,1,저지방 고단백
32,1.729,72.9,24.3858299929652,Normal Weight,Male,51.7,1,125,1,저지방 고단백
32,1.6,120.0,46.875,Obese Class 3,Female,42.5,2,443,1,저지방 고단백
32,1.58,42.0,16.8242268867169,Underweight,Female,54.4,1,80,0,벌크업
32,1.65,60.0,22.038567493113,Normal Weight,Female,62.1,2,11,0,벌크업
32,1.68,65.0,23.0300453514739,Normal Weight,Female,51.1,4,115,0,저지방 고단백
32,1.7,65.0,22.4913494809689,Normal Weight,Male,49.7,2,155,0,저지방 고단백
32,1.68,64.0,22.6757369614513,Normal Weight,Female,47.9,1,163,0,저지방 고단백
32,1.65,61.0,22.4058769513315,Normal Weight,Female,76.9,3,133,1,벌크업
32,1.69,67.8,23.7386646125836,Normal Weight,Female,48.6,1,160,0,저지방 고단백
32,1.64,42.2,15.6900654372397,Underweight,Female,73.6,3,281,1,벌크업
32,1.72,81.9,27.6838831800974,Overweight,Male,50.6,4,372,0,저지방 고단백
32,1.77,115.7,36.930639343739,Obese Class 2,Male,64.7,4,485,1,저지방 고단백
31,1.74,76.19,25.1651473114018,Overweight,Male,62.6,4,70,1,저지방 고단백
31,1.73,72.99,24.387717598316,Normal Weight,Male,77.2,1,21,0,벌크업
31,1.75,79.39,25.9232653061225,Overweight,Male,66.9,4,90,1,저지방 고단백
31,1.729,72.99,24.4159359559195,Normal Weight,Male,82.0,4,51,1,벌크업
31,1.7298,76.07,25.4226975474606,Overweight,Male,49.4,4,335,1,저지방 고단백
31,1.55,40.0,16.6493236212279,Underweight,Female,71.4,1,273,1,벌크업
31,1.68,62.0,21.9671201814059,Normal Weight,Female,76.8,3,77,1,벌크업
31,1.74,67.0,22.1297397278372,Normal Weight,Male,85.6,4,126,1,벌크업
31,1.71,66.0,22.5710475017954,Normal Weight,Male,55.9,2,70,0,저지방 고단백
31,1.68,63.0,22.3214285714286,Normal Weight,Female,68.2,1,63,0,벌크업
31,1.63,60.0,22.5827091723437,Normal Weight,Female,53.1,2,32,0,저지방 고단백
31,1.7,74.1,25.6401384083045,Overweight,Male,86.6,2,100,1,벌크업
31,1.65,43.0,15.7943067033976,Underweight,Female,68.8,1,246,1,벌크업
31,1.74,82.5,27.2493063812921,Overweight,Male,55.1,2,286,1,저지방 고단백
31,1.85,132.0,38.56829802775751,Obese Class 2,Male,98.7,1,275,0,저지방 고단백
30,1.74,76.18,25.1618443651737,Overweight,Male,53.8,3,222,1,저지방 고단백
30,1.73,73.08,24.417788766748,Normal Weight,Male,82.4,2,64,1,벌크업
30,1.75,79.28,25.8873469387755,Overweight,Male,89.8,3,88,1,벌크업
30,1.729,73.08,24.4460419188738,Normal Weight,Male,72.4,4,9,0,저지방 고단백
30,1.7298,76.06,25.4193555338485,Overweight,Male,83.8,4,42,0,벌크업
30,1.68,95.0,33.6592970521542,Obese Class 1,Female,81.5,4,68,0,저지방 고단백
30,1.7,155.0,53.6332179930796,Obese Class 3,Male,52.5,4,463,0,저지방 고단백
30,1.8,175.0,54.0123456790123,Obese Class 3,Male,65.2,2,410,1,저지방 고단백
30,2.07,270.0,63.0119722747322,Obese Class 3,Male,74.7,1,443,1,저지방 고단백
30,1.86,70.0,20.2335530119089,Normal Weight,Male,62.5,1,55,0,저지방 고단백
30,1.7,66.0,22.8373702422145,Normal Weight,Male,75.1,2,54,1,벌크업
30,1.72,66.0,22.3093564088697,Normal Weight,Male,78.8,3,118,1,벌크업
30,1.69,64.0,22.4081789853297,Normal Weight,Female,78.5,2,100,1,벌크업
30,1.65,61.0,22.4058769513315,Normal Weight,Female,81.3,3,146,1,벌크업
30,1.865,93.4,26.852776919262,Overweight,Male,87.6,4,53,0,저지방 고단백
30,1.87,92.3,26.3948068289056,Overweight,Male,99.3,1,59,0,벌크업
30,1.68,68.7,24.3409863945578,Normal Weight,Female,74.0,4,52,1,벌크업
30,1.67,44.5,15.9561117286385,Underweight,Female,71.9,2,297,0,벌크업
30,1.74,79.9,26.3905403620029,Overweight,Male,55.9,1,217,1,저지방 고단백
30,1.72,106.7,36.066792861006,Obese Class 2,Male,87.4,2,172,0,저지방 고단백
29,1.79,74.72,23.3201210948472,Normal Weight,Male,71.9,2,5,1,저지방 고단백
29,1.78,71.72,22.6360308041914,Normal Weight,Male,71.8,4,13,0,벌크업
29,1.8,77.72,23.9876543209877,Normal Weight,Male,56.4,3,121,0,저지방 고단백
29,1.779,71.72,22.661485995663,Normal Weight,Male,78.7,1,64,0,벌크업
29,1.7798,74.6,23.5502988482414,Normal Weight,Male,88.6,3,117,0,벌크업
29,1.65,150.0,55.0964187327824,Obese Class 3,Female,45.2,2,497,0,저지방 고단백
29,1.75,170.0,55.5102040816327,Obese Class 3,Male,61.5,3,439,1,저지방 고단백
29,2.05,260.0,61.8679357525283,Obese Class 3,Male,107.3,1,430,0,저지방 고단백
29,1.84,68.0,20.0850661625709,Normal Weight,Male,90.6,4,137,1,벌크업
29,1.63,58.0,21.8299521999323,Normal Weight,Female,46.2,2,97,0,저지방 고단백
29,1.7,64.0,22.1453287197232,Normal Weight,Male,55.7,2,34,1,저지방 고단백
29,1.68,63.0,22.3214285714286,Normal Weight,Female,67.0,1,19,0,벌크업
29,1.66,62.0,22.4996371026274,Normal Weight,Female,46.9,1,129,1,저지방 고단백
29,1.847,90.9,26.6458815111293,Overweight,Male,82.8,2,32,0,저지방 고단백
29,1.853,89.7,26.1241160539829,Overweight,Male,79.3,2,105,1,저지방 고단백
29,1.72,69.3,23.4248242293131,Normal Weight,Male,49.9,4,244,1,저지방 고단백
29,1.66,45.7,16.5844099288721,Underweight,Female,48.7,4,8,1,벌크업
29,1.75,81.4,26.5795918367347,Overweight,Male,71.4,3,58,0,저지방 고단백
29,1.76,113.8,36.7381198347107,Obese Class 2,Male,55.0,2,486,1,저지방 고단백
28,1.78,74.71,23.5797247822245,Normal Weight,Male,53.1,1,213,0,저지방 고단백
28,1.77,71.81,22.9212550671901,Normal Weight,Male,71.0,3,12,1,저지방 고단백
28,1.79,77.61,24.2220904466153,Normal Weight,Male,55.9,3,190,0,저지방 고단백
28,1.769,71.81,22.9471767558936,Normal Weight,Male,81.1,4,55,0,벌크업
28,1.7698,74.59,23.8139932186278,Normal Weight,Male,81.1,1,36,1,벌크업
28,1.75,75.0,24.4897959183673,Normal Weight,Male,50.9,3,139,1,저지방 고단백
28,1.67,145.0,51.991824733766,Obese Class 3,Female,71.3,2,438,1,저지방 고단백
28,1.72,165.0,55.7733910221742,Obese Class 3,Male,57.5,2,489,0,저지방 고단백
28,2.02,250.0,61.2685030879326,Obese Class 3,Male,100.2,1,468,0,저지방 고단백
28,1.82,66.0,19.9251298152397,Normal Weight,Male,59.5,2,44,1,저지방 고단백
28,1.78,75.0,23.6712536295922,Normal Weight,Male,69.5,4,36,1,저지방 고단백
28,1.76,69.0,22.2753099173554,Normal Weight,Male,87.1,2,157,1,벌크업
28,1.66,62.0,22.4996371026274,Normal Weight,Female,76.4,4,119,1,벌크업
28,1.67,63.0,22.5895514360501,Normal Weight,Female,68.4,2,44,1,벌크업
28,1.63,60.0,22.5827091723437,Normal Weight,Female,62.3,2,11,0,벌크업
28,1.832,88.3,26.3093285787838,Overweight,Male,86.4,4,3,1,저지방 고단백
28,1.838,87.2,25.8122267071295,Overweight,Male,76.7,4,83,1,저지방 고단백
28,1.78,72.1,22.7559651559147,Normal Weight,Male,55.2,1,162,0,저지방 고단백
28,1.68,46.2,16.3690476190476,Underweight,Female,65.9,2,142,0,벌크업
28,1.73,78.6,26.2621537639079,Overweight,Male,61.7,4,177,0,저지방 고단백
28,1.82,126.8,38.2804009177636,Obese Class 2,Male,92.1,4,284,1,저지방 고단백
27,1.77,74.7,23.8437230680839,Normal Weight,Male,80.9,3,53,0,벌크업
27,1.76,71.9,23.2115185950413,Normal Weight,Male,76.6,4,19,1,벌크업
27,1.78,77.5,24.4602954172453,Normal Weight,Male,68.0,2,37,1,저지방 고단백
27,1.759,71.9,23.237917817924,Normal Weight,Male,92.3,2,192,1,벌크업
27,1.7598,74.58,24.0821774566253,Normal Weight,Male,73.0,2,5,1,저지방 고단백
